Crude Name,StdLiquidDensity (kg/m3),SulfurByWt (%),ConradsonCarbonByWt (%),NitrogenByWt (%),Distillation Mass @ X Pct (C)@ 1 (%) - TBP,Distillation Mass @ X Pct (C)@ 5 (%) - TBP,Distillation Mass @ X Pct (C)@ 10 (%) - TBP,Distillation Mass @ X Pct (C)@ 30 (%) - TBP,Distillation Mass @ X Pct (C)@ 50 (%) - TBP,Distillation Mass @ X Pct (C)@ 70 (%) - TBP,Distillation Mass @ X Pct (C)@ 90 (%) - TBP,Distillation Mass @ X Pct (C)@ 95 (%) - TBP,Distillation Mass @ X Pct (C)@ 99 (%) - TBP,AromByWt (%),NaphthenesByWt (%),ParaffinsByWt (%),KinematicViscosity (cSt)@ 37.78 (C),KinematicViscosity (cSt)@ 98.89 (C),CetaneNumber,BromineNumber,AnilinePoint (C),FreezePoint (C),PourPoint (C),CloudPoint (C),TotalAcidNumber (mg KOH/g),CtoHRatioByWt
Kayarah-1997,957.238273898524,6.52939663904206,15.3347819181792,0.201731120984427,19.5136730904654,117.574498215644,184.511522254761,357.617317465111,494.456236056735,625.028033884621,817.452307169747,908.650990162436,1055.69200872857,65.6002426844091,20.2812954713626,14.1184618442283,76.2155739404773,13.8486658813571,44.0756024188855,,69.6582115922905,21.8208599329073,45.990486749572,84.2460958617551,0.314319397779659,7.66119131167952
Kearl-2014,914.923581216188,3.38177951204418,9.01554912890919,0.318993099010201,-38.1770567863161,69.3819819066096,94.3073184808464,338.84276344632,462.987103070635,579.571718461297,760.838765949713,848.28298014744,995.506256728367,51.114061696391,33.9056540918346,14.9802842117744,22.0088949024347,4.64641410412768,44.6270765926912,,46.6303230837779,0.450155787967333,-0.903341222951497,9.03829934061792,1.85977053844205,10.190282371498
Kearl-2020,928.792687844413,3.85479872491508,9.34496032453793,0.316584103763793,39.0312853515386,59.6028271492977,106.079243146371,359.062858543361,471.690913682349,580.166053978755,747.438835297066,827.80399057223,956.435670652496,82.7677580910484,7.88549120714811,9.34675070180352,31.1336961795787,4.71922297755403,47.4606921791907,,55.796246138824,-12.9425149692782,4.59215672827725,8.67218391113855,0.422422004180849,10.8587476671239
Kissanje-2016,874.971232235969,0.409329596627081,4.02110940744094,0.184322047028974,-1.12582983219352,88.2166580674144,127.157131387272,257.93823639907,365.066811077557,495.531051048377,680.61789619383,768.750224978713,932.744699213777,36.5026369392526,52.2296862470177,11.2676768137297,8.78965940583127,2.52935268037985,54.1851589368617,,44.1123077320352,22.294906038534,17.6589524481614,23.3540809360569,0.411167983547803,6.68895509744507
KuMaloobZaap-2007,985.763064133532,5.091297321189,18.0980506380546,0.400251930751154,66.6252977571568,150.313338915847,216.849876395937,428.079504844716,596.760868141401,762.390654759024,999.422413336224,1109.01951751899,1280.34550249543,50.5104554409199,40.1983047002615,9.29123985881859,8368.74963605127,61.3386560706763,51.9993846392295,,102.136001531436,124.451251700138,44.8080553617444,47.8300471635151,0.0695957589232807,8.03123848001907
Kuito-2000,937.108996275393,0.668656144434473,7.42577034912726,0.54322731692522,92.6725337999621,164.625874808953,218.874620979777,328.569920129889,441.449058473528,553.133472152733,636.047617442954,700.53910839681,788.984758566611,36.0950760097474,62.390775887282,1.51414810297067,66.5535898179537,8.17403463812225,49.2395415813879,,57.3515938451961,5.74303421972076,21.8696488110297,37.5389493883641,2.05266657770485,7.38386758002488
Kutubu-2021,773.671180876733,0.0212896029196019,0.465378197756971,0.0164066073254297,17.4031777150892,44.9980502126439,57.5475448554561,103.645768769289,153.261706352863,228.048929676388,377.904379087558,456.58711301964,576.780348985183,28.0091380523029,40.0372819615935,31.9535799861037,0.967374793223359,0.549800222897404,41.8289246311452,,58.5817197134357,-46.0425333815233,-4.00497794474131,4.83862418838678,0.0295876135227472,6.15384076694325
LacKitinaBitumen-2009,1030.17164942695,14.1837698858363,19.7151822621115,0.583917175511259,292.828623567002,341.486237567854,385.085344163248,496.024648413803,570.396881516098,645.379045935333,753.710486416164,805.373373648113,900.215000884941,98.6628592355967,1.13928105555301,0.196859708850256,1221133.48122874,945.937902364869,38.6259241684395,,98.6488758520903,76.1590339901388,85.9436122799389,108.671530071585,4.39136875351554,8.52791383958514
LagotrecoHeavy-1994,954.232868743869,3.39248547387128,12.6130253234236,0.286985925688949,55.9842710846908,143.983154896562,219.068360204265,381.032409725801,539.156098410637,715.021514173861,971.082689787452,1091.50694303484,1277.28039507784,68.2290286188046,23.6914279323,8.07954344889529,250.988363873693,14.3962923304755,56.3716803062232,,92.7697975188329,31.9834496093407,32.6719394528369,85.523335742221,1.05884325990975,7.64393402099701
Laguna-1995,989.816920183821,2.94393505452282,10.5683970562298,0.378315199045573,184.464038541085,268.691477507784,315.054298680508,437.854288377164,545.545410579865,651.960015987153,805.040303869814,878.433145199682,1001.64735833152,79.7103248091147,18.6151522596937,1.67452293119165,8209.13095288927,126.818690692518,47.4055967904973,,92.4196360081186,29.9029098656451,54.5725742617579,86.8425587502224,3.27199373640171,8.04190207579552
Lokele-2000,928.710941021331,0.388961600436045,4.6781461677966,0.445689076320932,67.6101317512519,158.996006175834,204.542358020031,304.636842437881,390.616836274321,498.675012206789,639.529768284861,705.767807419676,829.790403206988,28.8087673328993,68.812574936681,2.37865773041973,40.5177529286044,5.52050546033792,41.6877504483406,,48.6382955226741,-14.6363812197146,19.41664010968,23.2768968647514,2.47151769777317,7.09590430761759
Marlim-1997,931.181966113801,0.745076736068905,7.62085397347694,0.390463504002718,45.0040932367311,134.680488432972,196.712222764527,341.910684136899,465.281244042324,572.106449278266,681.603477444667,732.845571578032,838.573977045123,42.6516318074496,53.0403551344953,4.30801305805505,73.3418660871235,9.15254347354215,49.1270929767337,,60.8497239913924,36.0550970612605,33.7194318851787,38.2894463124523,1.17901818649715,7.29914718588753
Menemota-1990,944.665446821223,2.70073309282204,10.2713539485206,0.355625045182387,54.276692428396,134.448683651821,205.127370965865,352.609622562921,492.710567905264,638.265169690694,850.695199805968,952.135168569412,1121.56440997088,47.6291887912433,45.2305588224188,7.14025238633795,109.042124598479,9.59628503872984,52.2765778696061,,70.0541832229965,-15.1659114991673,2.56232245216773,26.1463109091057,1.56604663008363,9.88001447794805
